id,name,organization,country,state,city,address,latitude,longitude,phone,schedule,supply_types,accepts_volunteers,notes,is_active,created_at,updated_at
54b3c296-15bc-4f98-88d9-f6d6467930f4,Mascotas - Mercado Municipal de Chacao (Centros para animales),Mercado Municipal de Chacao (Centros para animales),Venezuela,Miranda,Caracas,"Avenida Mohedano, entre calles Ávila y Urdaneta, Chacao",10.4952,-66.8539,,,higiene|mascotas,false,,true,2026-06-28T22:27:56.772748+00:00,2026-06-28T22:27:56.772748+00:00
49dc1dc9-1d1e-46f3-90de-d154409218b8,Mascotas - Misión Nevado (San Bernardino),Misión Nevado (San Bernardino),Venezuela,Distrito Capital,Caracas,"Avenida Caracas, Edificio Transeguro, cruce con Av. Ávila, San Bernardino",10.5122,-66.9056,,,higiene|mascotas,false,,true,2026-06-28T22:27:07.612181+00:00,2026-06-28T22:27:07.612181+00:00
b38ffd5e-5e89-42ef-a8a6-fb6de823987a,Mascotas - AGRO-FINCA DON FERNANDO,AGRO-FINCA DON FERNANDO,Venezuela,Miranda,Caracas (El Hatillo),"Carretera La Boyera-El Hatillo, Edificio Manari, Barrio Los Geranios",10.4325,-66.8312,+58 424-1964408,,mascotas|higiene,false,,true,2026-06-28T22:26:19.324757+00:00,2026-06-28T22:26:19.324757+00:00
4845a1d2-4b4a-4cad-857b-5d20f5e80cc2,Mascotas - Centro Veterinario San Román,Centro Veterinario San Román,Venezuela,Miranda,Caracas,"Calle Chivacoa, Urbanización San Román",10.473523,-66.862412,+58 412-4022537,,higiene|mascotas,false,,true,2026-06-28T22:25:13.644213+00:00,2026-06-28T22:25:13.644213+00:00
47517332-fea0-450a-8737-f7ea2c773f85,Mascotas - Clinica Veterinaria Kodama Animal (Santa Eduvigis),Clinica Veterinaria Kodama Animal (Santa Eduvigis),Venezuela,Distrito Capital,"10,496500","Avenida Palos Grandes con Av. Santa Eduvigis, Urbanización Santa Eduvigis",10.5,-66.8391,,,higiene|mascotas,false,,true,2026-06-28T22:24:15.012652+00:00,2026-06-28T22:24:15.012652+00:00
6210c49a-6721-4a2a-b617-46ec039cb374,Mascotas - COLEGIO MEDICOS VETERINARIOS ESTADO MIRANDA (La floresta),COLEGIO MEDICOS VETERINARIOS ESTADO MIRANDA (La floresta),Venezuela,Miranda,Caracas,"Avenida Motatán, entre avenidas Chama y Caroní, Quinta La Trinidad, Colinas de Bello Monte (Sede oficial registrada)",10.4795,-66.8794,+58 424-2051342,,mascotas|higiene,false,,true,2026-06-28T22:23:28.68265+00:00,2026-06-28T22:23:28.68265+00:00
6667be31-418a-4c9a-b3a3-90ae358f4e82,FACE-UC - Promo V Idiomas Modernos - Apoyo Pedagógico Morón,FACE-UC - Promo V Idiomas Modernos,Venezuela,Carabobo,Naguanagua,"Campus Bárbula, Facultad de Ciencias de la Educación (FACE-UC)",10.282431,-68.004452,0424-4654555  /  Prof. Karielys Sandoval,,juguetes_educativo|higiene|alimentos|agua,false,,true,2026-06-28T21:16:49.574845+00:00,2026-06-28T21:16:49.574845+00:00
6b533d1d-8ec9-4464-89c2-095a5e40e596,Fundación Juntos Se Puede - Kennedy/Castilla (Conjunto Oasis de Castilla),Fundación Juntos Se Puede,Colombia,Cundinamarca,Bogotá,Calle 10 # 80-41,4.645153,-74.143442,313 487 0149,,agua|alimentos|medicinas|ropa|higiene|bebes,false,"Centro de acopio en Bogotá, Colombia.",true,2026-06-28T20:59:36.189775+00:00,2026-06-28T20:59:36.189775+00:00
e939dd35-0784-47a0-9aac-bb80ed82f6ba,Fundación Juntos Se Puede - Fundación Mahuampi,Fundación Juntos Se Puede,Colombia,Cundinamarca,Bogotá,KR 116A # 15C-70,4.682241,-74.157282,322 768 3589,,agua|alimentos|medicinas|ropa|higiene|bebes,false,"Centro de acopio en Bogotá, Colombia.",true,2026-06-28T20:59:36.189775+00:00,2026-06-28T20:59:36.189775+00:00
24dcc180-279a-434c-ad0d-fa0a973006ba,Fundación Juntos Se Puede - Usaquén,Fundación Juntos Se Puede,Colombia,Cundinamarca,Bogotá,KR 8 # 127-76 Local 1,4.704333,-74.032353,,,agua|alimentos|medicinas|ropa|higiene|bebes,false,"Centro de acopio en Bogotá, Colombia.",true,2026-06-28T20:59:36.189775+00:00,2026-06-28T20:59:36.189775+00:00
b70e4629-49c7-4ed7-b09e-0a42a14794dc,Fundación Juntos Se Puede - Cedritos (Panadería Ávila),Fundación Juntos Se Puede,Colombia,Cundinamarca,Bogotá,KR 17 #141-05,4.723015,-74.04392,,,agua|alimentos|medicinas|ropa|higiene|bebes,false,"Centro de acopio en Bogotá, Colombia.",true,2026-06-28T20:59:36.189775+00:00,2026-06-28T20:59:36.189775+00:00
b3fe8a87-ee9f-4f8a-ad70-302b33980cdd,Fundación Juntos Se Puede - Barrios Unidos,Fundación Juntos Se Puede,Colombia,Cundinamarca,Bogotá,KR 65 # 73-23,4.676358,-74.082523,,,agua|alimentos|medicinas|ropa|higiene|bebes,false,"Centro de acopio en Bogotá, Colombia.",true,2026-06-28T20:59:36.189775+00:00,2026-06-28T20:59:36.189775+00:00
f8017289-4af6-4233-bb31-0822c5eb2261,Fundación Juntos Se Puede - Chapinero,Fundación Juntos Se Puede,Colombia,Cundinamarca,Bogotá,KR 9 #61-70,4.64736,-74.061284,,,agua|alimentos|medicinas|ropa|higiene|bebes,false,"Centro de acopio en Bogotá, Colombia.",true,2026-06-28T20:59:36.189775+00:00,2026-06-28T20:59:36.189775+00:00
